"id";"category";"code";"description";"image_url";"name";"preparation_time";"price";"rating";"release_date"
1;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/cioba-frito.jpg";"Peixe cioba";"45 min";12.99;1.0;"2021-10-28T20:38:48.703Z"
2;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/pescadaamarela.jpg";"File de pescada amarela";"45 min";22.99;1.1;"2021-10-28T20:38:48.703Z"
3;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/baiaodedois2.jpg";"Baião de dois";"45 min";37.99;1.2;"2021-10-28T20:38:48.703Z"
4;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/rubacao.jpg";"Rubacão";"45 min";22.5;1.3;"2021-10-28T20:38:48.703Z"
5;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/espaguete-abolonhesa.jpg";"Espaguete";"45 min";72.99;1.4;"2021-10-28T20:38:48.703Z"
6;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/carnedesol-commacaxeira.jpg";"Carne de sol com macaxeira";"45 min";26.99;1.5;"2021-10-28T20:38:48.703Z"
7;"pratododia";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/carnedesol-comqueijocoalho.jpg";"Carne de sol com queijo coalho";"45 min";56.99;1.6;"2021-10-28T20:38:48.703Z"
8;"pratoregional";"XLF-1212";"Prato preparado com camarão e mandioca e tempero nordestino";"/quiosque/assets/images/camarao-bobo.jpg";"Bobó de Camarão";"45 min";18.0;1.7;"2021-10-28T20:38:48.703Z"
9;"pratoregional";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/tilapia-fileempanado.jpg";"Filé de tilápia empanado";"45 min";112.99;1.8;"2021-10-28T20:38:48.703Z"
10;"pratoespecial";"XLF-1212";"Peixe abundante no litoral nordestino. O prato atende até 3 pessoas. Acompanhamento: arroz e fritas";"/quiosque/assets/images/tilapia-aomolhodecamarao.jpg";"Filé de tilápia ao molho de camarão";"45 min";172.99;1.9;"2021-10-28T20:38:48.703Z"
